Timestamp,Value,,,,
04.11.2024 14:31,1943,251,,,
04.11.2024 14:31,1943,252,,,
04.11.2024 14:31,1943,253,,,
04.11.2024 14:31,1945,254,,,
04.11.2024 14:31,1950,255,,,
04.11.2024 14:31,1972,256,,,
04.11.2024 14:31,1978,257,,,
04.11.2024 14:31,1982,258,,,
04.11.2024 14:31,1985,259,,,
04.11.2024 14:31,1986,260,,,
04.11.2024 14:31,1987,261,,,
04.11.2024 14:31,1987,262,,,
04.11.2024 14:31,1986,263,,,
04.11.2024 14:31,1983,264,,,
04.11.2024 14:31,1982,265,,,
04.11.2024 14:31,1985,266,,,
04.11.2024 14:31,1984,267,,,
04.11.2024 14:31,1989,268,,,
04.11.2024 14:31,1972,269,,,
04.11.2024 14:31,1967,270,,,
04.11.2024 14:31,1968,271,,,
04.11.2024 14:31,1965,272,,,
04.11.2024 14:31,1963,273,,,
04.11.2024 14:31,1954,274,,,
04.11.2024 14:31,1940,275,,,
04.11.2024 14:31,1942,276,,,
04.11.2024 14:31,1940,277,,,
04.11.2024 14:31,1941,278,,,
04.11.2024 14:31,1937,279,,,
04.11.2024 14:31,1941,280,,,
04.11.2024 14:31,1943,281,,,
04.11.2024 14:31,1948,282,,,
04.11.2024 14:31,1955,283,,,
04.11.2024 14:31,1966,284,,,
04.11.2024 14:31,1966,285,,,
04.11.2024 14:31,1963,286,,,
04.11.2024 14:31,1962,287,,,
04.11.2024 14:31,1966,288,,,
04.11.2024 14:31,1964,289,,,
04.11.2024 14:31,1964,290,,,
04.11.2024 14:31,1965,291,,,
04.11.2024 14:31,1962,292,,,
04.11.2024 14:31,1964,293,,,
04.11.2024 14:31,1962,294,,,
04.11.2024 14:31,1966,295,,,
04.11.2024 14:31,1961,296,,,
04.11.2024 14:31,1965,297,,,
04.11.2024 14:31,1965,298,,,
04.11.2024 14:31,1966,299,,,
04.11.2024 14:31,1963,300,,,
04.11.2024 14:31,1936,301,,,
04.11.2024 14:31,1931,302,,,
04.11.2024 14:31,1953,303,,,
04.11.2024 14:31,1958,304,,,
04.11.2024 14:31,1962,305,,,
04.11.2024 14:31,1967,306,,,
04.11.2024 14:31,1944,307,,,
04.11.2024 14:31,1932,308,,,
04.11.2024 14:31,1935,309,,,
04.11.2024 14:31,1937,310,,,
04.11.2024 14:31,1957,311,,,
04.11.2024 14:31,1955,312,,,
04.11.2024 14:31,1961,313,,,
04.11.2024 14:31,1964,314,,,
04.11.2024 14:31,1964,315,,,
04.11.2024 14:31,1964,316,,,
04.11.2024 14:31,1962,317,,,
04.11.2024 14:31,1966,318,,,
04.11.2024 14:31,1965,319,,,
04.11.2024 14:31,1962,320,,,
04.11.2024 14:31,1966,321,,,
04.11.2024 14:31,1964,322,,,
04.11.2024 14:31,1965,323,,,
04.11.2024 14:31,1962,324,,,
04.11.2024 14:31,1941,325,,,
04.11.2024 14:31,1934,326,,,
04.11.2024 14:31,1937,327,,,
04.11.2024 14:31,1937,328,,,
04.11.2024 14:31,1939,329,,,
04.11.2024 14:31,1943,330,,,
04.11.2024 14:31,1959,331,,,
04.11.2024 14:31,1955,332,,,
04.11.2024 14:31,1959,333,,,
04.11.2024 14:31,1964,334,,,
04.11.2024 14:31,1963,335,,,
04.11.2024 14:31,1964,336,,,
04.11.2024 14:31,1940,337,,,
04.11.2024 14:31,1941,338,,,
04.11.2024 14:31,1944,339,,,
04.11.2024 14:31,1942,340,,,
04.11.2024 14:31,1969,341,,,
04.11.2024 14:31,1972,342,,,
04.11.2024 14:31,1985,343,,,
04.11.2024 14:31,1987,344,,,
04.11.2024 14:31,1986,345,,,
04.11.2024 14:31,1986,346,,,
04.11.2024 14:31,1985,347,,,
04.11.2024 14:31,1983,348,,,
04.11.2024 14:31,1978,349,,,
04.11.2024 14:31,1981,350,,,
04.11.2024 14:31,1981,351,,,
04.11.2024 14:31,1983,352,,,
04.11.2024 14:31,1963,353,,,
04.11.2024 14:31,1948,354,,,
04.11.2024 14:31,1943,355,,,
04.11.2024 14:31,1943,356,,,
04.11.2024 14:31,1946,357,,,
04.11.2024 14:31,1955,358,,,
04.11.2024 14:31,1959,359,,,
04.11.2024 14:31,1965,360,,,
04.11.2024 14:31,1964,361,,,
04.11.2024 14:31,1961,362,,,
04.11.2024 14:31,1963,363,,,
04.11.2024 14:31,1964,364,,,
04.11.2024 14:31,1963,365,,,
04.11.2024 14:31,1962,366,,,
04.11.2024 14:31,1959,367,,,
04.11.2024 14:31,1947,368,,,
04.11.2024 14:31,1936,369,,,
04.11.2024 14:31,1940,370,,,
04.11.2024 14:31,1938,371,,,
04.11.2024 14:31,1935,372,,,
04.11.2024 14:31,1939,373,,,
04.11.2024 14:31,1941,374,,,
04.11.2024 14:31,1941,375,,,
04.11.2024 14:31,1942,376,,,
04.11.2024 14:31,1944,377,,,
04.11.2024 14:31,1944,378,,,
04.11.2024 14:31,1948,379,,,
04.11.2024 14:31,1949,380,,,
04.11.2024 14:31,1955,381,,,
04.11.2024 14:31,1981,382,,,
04.11.2024 14:31,1980,383,,,
04.11.2024 14:31,1984,384,,,
04.11.2024 14:31,1986,385,,,
04.11.2024 14:31,1986,386,,,
04.11.2024 14:31,1985,387,,,
04.11.2024 14:31,1985,388,,,
04.11.2024 14:31,1983,389,,,
04.11.2024 14:31,1983,390,,,
04.11.2024 14:31,1981,391,,,
04.11.2024 14:31,1980,392,,,
04.11.2024 14:31,1980,393,,,
04.11.2024 14:31,1975,394,,,
04.11.2024 14:31,1968,395,,,
04.11.2024 14:31,1967,396,,,
04.11.2024 14:31,1966,397,,,
04.11.2024 14:31,1965,398,,,
04.11.2024 14:31,1963,399,,,
04.11.2024 14:31,1938,400,,,
04.11.2024 14:31,1938,401,,,
04.11.2024 14:31,1939,402,,,
04.11.2024 14:31,1942,403,,,
04.11.2024 14:31,1938,404,,,
